City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Northam,51.03,-4.22,62.01,100,41,5.01
Misratah,32.38,15.09,78.98,69,0,6.44
Krāslava,55.9,27.17,55.99,74,17,8.05
Moundsville,39.92,-80.74,72.0,94,90,3.11
Alagoinhas,-12.14,-38.42,66.9,96,66,3.2
Ban Dung,17.7,103.26,93.2,59,40,3.36
Arman',59.7,150.17,63.19,62,32,6.46
Ürümqi,43.8,87.6,91.4,19,0,2.24
Waitati,-45.75,170.57,48.99,50,55,15.99
Qasigiannguit,68.82,-51.19,53.6,58,98,4.7
Rocha,-34.48,-54.33,56.44,90,97,9.26
Assiniboia,49.63,-105.98,66.88,86,77,6.24
Kamiiso,41.82,140.65,73.4,83,75,8.05
Jiangyou,31.77,104.72,84.97,74,92,6.58
Ruidoso,33.33,-105.67,64.4,72,40,5.82
Eqbālīyeh,35.3,51.54,89.6,39,40,11.41
Vidim,56.41,103.11,75.0,44,6,13.04
Durango,24.83,-104.83,62.76,78,89,7.18
Fairbanks,64.84,-147.72,64.4,59,1,3.36
Wolgast,54.05,13.77,64.0,64,100,1.01
Kabare,-2.47,28.82,64.72,70,53,2.35
Poya,-21.35,165.15,73.92,68,24,6.2
Safi,32.3,-9.24,69.28,90,0,11.23
Tyukhtet,56.54,89.3,67.01,57,68,7.34
Kologriv,58.83,44.32,62.65,63,18,7.58
Gaogou,34.02,119.19,84.69,59,2,7.63
Maniitsoq,65.42,-52.9,47.84,86,100,2.66
Tuy Hoa,13.08,109.3,89.74,56,99,4.68
Ternate,0.8,127.4,83.21,74,66,6.31
Yei,4.09,30.68,69.89,92,31,3.33
Erdenet,49.03,104.08,69.71,62,68,4.45
Sola,-13.88,167.55,81.05,82,90,17.9
Klyuchevskiy,53.53,119.45,76.14,80,84,1.34
The Valley,18.22,-63.06,82.4,83,40,13.87
Kisangani,0.52,25.2,74.3,84,0,1.63
Kargil,34.57,76.1,66.02,27,0,2.57
Mattru,7.62,-11.83,72.37,96,100,2.57
Três Corações,-21.7,-45.25,54.99,87,0,3.65
Praia,14.92,-23.51,78.8,83,40,9.17
Kloulklubed,7.04,134.26,82.4,83,75,9.17
Aden,12.78,45.04,86.59,73,0,5.97
Greenville,35.61,-77.37,73.99,94,1,4.7
Dinghaicun,26.28,119.79,93.2,63,20,20.13
Lat Yao,15.75,99.79,94.73,49,55,3.4
Atambua,-9.11,124.89,81.63,43,25,1.25
Kapit,2.02,112.93,89.94,57,100,1.66
Āsosa,10.07,34.53,63.75,98,100,3.18
Verkhnyaya Maksakovka,61.63,50.97,69.8,68,60,8.95
